transaction_id,transaction_date,channel,quantity,unit_price,discount_pct,promo_flag,payment_method,days_since_last_purchase,prior_purchases,total_amount,repeat_purchase_next_month,age,gender,city,membership_level,customer_tenure_months,loyalty_score,estimated_income,category,brand,supplier_region,base_price
1,2025-03-05,Store,5,77.67,0.044,0,Transfer,17,8,403.3,0,35.0,F,Bogota,Gold,6,74.98,3429.29,Fashion,Pulse,Imported,78.08
2,2025-04-05,Store,6,108.01,0.071,0,Digital Wallet,52,6,799.16,0,40.0,M,Medellín,Gold,25,59.2,2703.28,Sports,Pulse,North,98.25
3,2025-11-10,Web,5,40.97,0.189,1,Transfer,22,11,166.01,1,32.0,M,Cali,Gold,31,43.37,3965.27,Beauty,Aurum,North,42.31
4,2025-12-11,Web,4,254.63,0.004,0,Transfer,37,9,961.9,0,40.0,M,Medellín,Platinum,3,54.08,3065.58,Sports,Nova,West,247.17
5,2025-12-17,Store,3,230.8,0.037,0,Digital Wallet,37,9,635.23,0,31.0,M,Cali,Basic,40,25.38,4593.99,Sports,Aurum,North,237.56
6,2025-07-04,Store,5,14.39,0.11,0,Transfer,7,7,1009.98,0,37.0,Other,Barranquilla,Platinum,37,24.25,700.0,Sports,Lumen,Imported,219.5
7,2025-12-09,Store,2,16.72,0.097,0,Transfer,10,9,20.15,1,55.0,F,Bogota,Platinum,26,62.83,5393.69,Beauty,Pulse,Local,16.58
8,2025-03-27,App,5,77.1,0.01,1,Transfer,22,12,488.81,0,23.0,F,Bogota,Silver,43,57.63,3320.91,Beauty,Orion,East,75.76
9,2025-11-22,Store,7,181.35,0.173,0,Transfer,24,12,1123.92,0,29.0,F,Bogota,Gold,22,68.56,5010.38,Home,Aurum,North,170.76
10,2025-06-25,Web,4,10.95,0.052,1,Transfer,82,8,45.54,1,55.0,F,Cali,Platinum,34,50.97,4536.59,Groceries,Nova,Imported,11.2
11,2025-01-29,Store,7,89.03,0.159,1,Transfer,19,8,610.64,0,51.0,M,Cali,Basic,26,63.9,3559.41,Electronics,Zenit,Imported,89.44
12,2025-11-11,Store,3,86.22,0.0,0,Digital Wallet,9,14,232.16,0,27.0,M,Bogota,Platinum,29,40.34,700.0,Electronics,Zenit,Imported,89.44
13,2025-01-16,Store,7,20.52,0.172,0,Transfer,50,10,128.12,0,29.0,F,Bogota,Gold,22,68.56,5010.38,Groceries,Viva,East,19.8
14,2025-01-30,Store,1,80.6,0.096,0,Transfer,32,8,83.39,0,37.0,M,Bogota,Platinum,53,80.78,5673.87,Beauty,Zenit,West,72.98
15,2025-12-02,App,5,51.2,0.195,0,Debit Card,46,9,210.6,0,42.0,M,Medellín,Platinum,40,78.99,3875.28,Fashion,Viva,Local,48.91
16,2025-01-04,Web,4,22.36,0.05,0,Transfer,53,8,115.66,0,39.0,M,Bogota,Gold,5,86.82,5017.24,Fashion,Zenit,East,22.12
17,2025-10-05,Web,4,53.5,0.015,0,Transfer,39,6,236.49,1,56.0,M,Cartagena,Gold,29,43.55,2039.25,Beauty,Lumen,North,49.9
18,2025-05-29,App,1,82.85,0.088,1,Debit Card,33,10,104.79,0,27.0,M,Bogota,Platinum,29,40.34,700.0,Fashion,Nova,Local,82.09
19,2025-10-14,Web,3,708.71,0.013,0,Debit Card,8,12,1852.99,0,36.0,F,Cali,Basic,46,40.64,3630.56,Electronics,Viva,Imported,675.98
20,2025-01-09,App,6,311.61,0.0,1,Debit Card,67,9,2183.1,0,21.0,M,Bogota,Silver,37,69.3,4579.13,Electronics,Aurum,South,331.95
21,2025-03-24,Store,6,130.05,0.112,0,Transfer,57,11,755.46,0,40.0,M,Bogota,Platinum,35,62.62,1488.81,Fashion,Orion,Imported,124.09
22,2025-08-22,App,4,70.36,0.058,0,Cash,30,11,236.71,0,40.0,M,Medellín,Platinum,3,54.08,3065.58,Beauty,Atlas,West,67.07
23,2025-10-08,Store,4,277.58,0.083,1,Transfer,60,13,1027.98,0,31.0,F,Bogota,Platinum,20,47.71,1761.39,Sports,Zenit,East,249.78
24,2025-05-22,Store,4,71.19,0.062,0,Cash,20,10,309.44,0,42.0,F,Medellín,Platinum,11,63.46,5498.65,Sports,Zenit,West,77.47
25,2025-04-06,Web,4,26.84,0.0,1,Transfer,46,9,172.55,0,35.0,M,Medellín,Gold,32,40.34,1090.54,Sports,Pulse,South,25.42
26,2025-04-29,App,3,27.96,0.131,1,Transfer,69,6,92.46,0,40.0,M,Bogota,Basic,1,56.25,2944.23,Beauty,Orion,West,27.31
27,2025-09-03,Store,4,42.35,0.19,1,Digital Wallet,15,6,132.68,0,44.0,F,Bogota,Platinum,1,80.36,3621.48,Beauty,Aurum,North,42.31
28,2025-09-06,Store,7,26.62,0.113,1,Debit Card,92,11,202.41,0,24.0,F,Bogota,Platinum,36,60.28,4354.9,Beauty,Orion,West,27.31
29,2025-05-28,Store,2,83.17,0.092,0,Transfer,43,6,170.35,0,31.0,F,Bogota,Platinum,20,47.71,1761.39,Fashion,Pulse,Imported,78.08
30,2025-04-19,App,2,41.22,0.04,1,Transfer,46,11,119.03,1,23.0,F,Barranquilla,Gold,38,40.34,2937.12,Beauty,Orion,Imported,44.1
31,2025-08-01,Store,5,29.23,0.19,0,Debit Card,45,17,112.8,1,37.0,M,Bogota,Platinum,55,29.65,2535.76,Beauty,Orion,North,29.89
32,2025-01-12,Store,4,181.97,0.0,0,Digital Wallet,40,11,873.33,0,40.0,M,Bogota,Platinum,1,53.14,1649.9,Home,Aurum,North,170.76
33,2025-12-04,Store,13,101.76,0.174,0,Debit Card,29,5,1403.13,0,18.0,F,Bogota,Platinum,28,40.34,6960.76,Electronics,Orion,South,102.35
34,2025-03-03,App,4,448.02,0.035,0,Transfer,30,11,1908.92,0,35.0,F,Cali,Platinum,17,63.1,2833.98,Electronics,Nova,Local,487.12
35,2025-03-26,App,3,101.02,0.153,0,Transfer,44,6,273.74,0,34.0,M,Bogota,Platinum,5,69.04,4556.09,Sports,Pulse,North,98.25
36,2025-05-25,App,5,68.15,0.051,1,Transfer,10,10,502.88,0,31.0,M,Bogota,Platinum,1,78.98,3455.88,Sports,Zenit,West,77.47
37,2025-05-12,App,6,92.11,0.045,0,Credit Card,62,15,581.69,0,28.0,M,Medellín,Basic,46,40.34,3154.39,Beauty,Zenit,West,82.99
38,2025-10-05,Store,1,258.41,0.073,1,Credit Card,23,17,307.64,0,27.0,M,Bogota,Platinum,20,53.04,1872.99,Sports,Nova,West,247.17
39,2025-05-04,App,3,44.62,0.285,1,Debit Card,12,7,129.46,0,34.0,M,Cali,Platinum,21,17.92,5046.07,Beauty,Orion,Imported,44.1
40,2025-03-09,Store,4,68.25,0.185,0,Transfer,60,6,289.83,0,39.0,M,Barranquilla,Platinum,38,54.84,5002.14,Beauty,Zenit,South,70.66
41,2025-09-21,Web,5,41.4,0.11,0,Transfer,1,5,187.09,0,27.0,M,Bogota,Platinum,29,40.34,700.0,Beauty,Orion,South,41.53
42,2025-10-21,Store,1,140.73,0.008,1,Transfer,40,7,157.5,0,23.0,F,Bogota,Platinum,1,65.66,4405.38,Sports,Aurum,Local,139.49
43,2025-02-11,Store,7,65.3,0.056,0,Cash,61,9,474.35,0,57.0,M,Bogota,Platinum,54,47.92,1719.84,Sports,Zenit,Local,68.52
44,2025-12-11,App,5,64.85,0.0,0,Transfer,64,10,233.12,0,35.0,M,Barranquilla,Platinum,13,44.98,803.89,Beauty,Nova,West,64.86
45,2025-04-17,Store,3,208.69,0.139,1,Transfer,27,7,709.15,0,25.0,F,Bogota,Platinum,38,76.31,2622.98,Sports,Lumen,East,185.09
46,2025-08-05,Store,4,57.32,0.0,0,Transfer,14,6,213.65,0,24.0,F,Medellín,Platinum,16,40.34,5809.92,Beauty,Zenit,Imported,57.14
47,2025-03-18,Store,2,616.47,0.223,0,Transfer,18,8,1038.87,0,26.0,M,Bogota,Basic,30,89.97,5167.14,Electronics,Viva,Imported,682.78
48,2025-04-27,Store,7,16.35,0.155,0,Transfer,44,10,116.99,1,28.0,M,Bogota,Platinum,16,70.26,4856.23,Groceries,Zenit,Imported,15.93
49,2025-05-02,Store,7,75.58,0.184,0,Digital Wallet,1,7,481.05,0,37.0,F,Bogota,Platinum,31,70.68,2874.33,Beauty,Zenit,South,70.66
50,2025-11-20,Store,5,16.21,0.05,0,Digital Wallet,87,13,70.97,1,18.0,F,Cali,Basic,21,48.6,3392.19,Groceries,Zenit,Imported,15.93
51,2025-04-07,Store,4,157.29,0.097,1,Transfer,8,12,739.67,0,34.0,F,Bogota,Platinum,8,94.46,3535.73,Electronics,Viva,West,165.05
52,2025-10-14,Store,5,281.1,0.001,0,Digital Wallet,16,14,1239.37,0,23.0,F,Barranquilla,Gold,38,40.34,2937.12,Electronics,Lumen,Imported,281.38
53,2025-04-25,Store,5,59.73,0.091,0,Transfer,14,12,303.23,0,22.0,F,Bogota,Platinum,18,66.18,1580.19,Beauty,Viva,East,66.68
54,2025-10-20,Web,1,45.69,0.088,0,Debit Card,13,8,46.31,1,40.0,M,Bogota,Basic,27,78.43,700.0,Fashion,Viva,Local,48.91
55,2025-04-21,App,5,221.86,0.0,0,Transfer,23,11,1221.26,0,54.0,F,Medellín,Platinum,37,75.85,700.0,Sports,Lumen,South,240.15
56,2025-10-07,App,3,285.2,0.067,0,Cash,29,8,710.06,0,55.0,F,Cali,Platinum,34,50.97,4536.59,Electronics,Lumen,Imported,281.38
57,2025-05-09,Store,7,44.08,0.138,1,Cash,56,10,351.45,0,23.0,M,Cali,Platinum,36,72.95,2294.16,Sports,Viva,Imported,42.13
58,2025-05-10,Store,1,53.63,0.064,0,Digital Wallet,32,9,72.09,0,37.0,M,Medellín,Basic,36,48.14,700.0,Fashion,Aurum,Local,45.86
59,2025-01-14,Web,6,113.78,0.071,0,Digital Wallet,72,12,637.78,0,18.0,F,Cali,Platinum,18,50.0,3945.01,Home,Lumen,Imported,120.93
60,2025-01-08,Web,2,58.22,0.223,1,Digital Wallet,46,6,88.38,0,39.0,M,Barranquilla,Platinum,12,21.7,1393.77,Beauty,Nova,West,64.86
61,2025-05-06,Store,5,14.39,0.098,0,Transfer,40,10,1286.44,0,37.0,F,Bogota,Platinum,32,61.34,5412.55,Sports,Orion,Local,271.92
62,2025-11-24,Store,3,33.59,0.0,0,Transfer,19,13,75.74,0,25.0,M,Bogota,Platinum,13,38.22,3405.06,Sports,Viva,West,32.45
63,2025-01-20,Store,7,198.8,0.033,0,Transfer,26,8,1338.63,0,29.0,F,Medellín,Platinum,23,53.92,3863.08,Sports,Zenit,West,188.22
64,2025-11-22,Store,2,69.38,0.0,0,Digital Wallet,35,9,124.21,1,44.0,M,Cartagena,Platinum,1,66.45,3161.43,Beauty,Zenit,West,72.98
65,2025-09-05,Store,6,127.6,0.071,0,Debit Card,78,13,632.23,0,53.0,M,Medellín,Basic,28,85.1,700.0,Fashion,Orion,Imported,124.09
66,2025-10-31,Web,7,72.47,0.021,0,Transfer,12,13,445.17,0,29.0,F,Barranquilla,Gold,24,40.34,5342.34,Beauty,Orion,East,75.76
67,2025-05-20,Store,2,92.34,0.134,0,Transfer,75,15,185.42,0,40.0,M,Bogota,Basic,1,56.25,2944.23,Electronics,Zenit,Imported,89.44
68,2025-09-12,Store,4,236.46,0.192,0,Transfer,48,8,675.39,0,52.0,F,Bogota,Silver,6,47.31,826.6,Sports,Pulse,Imported,257.21
